Ticker,Name,Sector,Price,Dividend Yield,1-Year Dividend Growth,5-Year Dividend Growth (Annualized),Dividends Per Share (TTM),Market Cap ($M),Trailing P/E Ratio,Payout Ratio,Beta,52-Week High,52-Week Low
AADI,Aadi Bioscience Inc,N/A,4.23,0,N/A,N/A,0,103.719008,0,N/A,0.747017948,14.13,3.95
AAN,Aarons Company Inc (The),Industrials,9.37,0.051190958,N/A,N/A,0.479659273,289.242586,N/A,N/A,1.242868979,15.96,7.33
AAON,AAON Inc.,Industrials,56.16,0.007094167,N/A,N/A,0.398408428,4583.188565,30.78713594,0.14701418,1.156527361,71.22,35.57
AAT,American Assets Trust Inc,Real Estate,18.29,0.072170585,0.03125,0.033406483,1.279426066,1110.653483,21.98443157,1.931792339,1.037604359,28.37,15.52
ABCB,Ameris Bancorp,Financial Services,37.66,0.015750639,0,0.084471771,0.593169064,2603.785586,8.742464161,0.137946294,1.26669476,52.94,27.86
ABCL,AbCellera Biologics Inc,N/A,4.26,0,N/A,N/A,0,1232.655993,N/A,0,0.985451114,14.97,3.92
ABG,Asbury Automotive Group Inc,Consumer Cyclical,212.4,0,N/A,N/A,0,4370.168657,4.668983608,0,1.41742013,256.39,138.88
ABM,ABM Industries Inc.,Industrials,44.03,0.019986373,0.128205128,0.040950397,0.872950122,2885.380741,12.15921087,0.245901443,0.802773755,48.8,37.4
ABR,Arbor Realty Trust Inc.,Real Estate,14.23,0.120871399,0.075,0.097541469,1.572471669,2653.923104,8.524031477,1.069708618,1.196501396,17.28,9.52
ABSI,Absci Corp,N/A,1.34,0,N/A,N/A,0,124.232678,N/A,0,2.248893862,3.71,1.13
ABUS,Arbutus Biopharma Corp,Healthcare,1.86,0,N/A,N/A,0,311.655389,N/A,0,0.845104434,3.15,1.73
AC,Associated Capital Group Inc,Financial Services,34.27,0.005827828,N/A,N/A,0.199719657,93.423687,0,N/A,,42.85,30.92
ACA,Arcosa Inc,Industrials,68.2,0.002929461,0,0,0.199789266,3325.551555,11.78020388,0.034328053,0.89867894,79.32,51.88
ACAD,Acadia Pharmaceuticals Inc,Healthcare,23.14,0,N/A,N/A,0,3788.7122,N/A,0,1.013747033,33.99,13.73
ACCD,Accolade Inc,N/A,7.02,0,N/A,N/A,0,535.149988,0,N/A,2.218077846,17.01,6.83
ACCO,Acco Brands Corporation,Industrials,5.24,0.056054215,0,0.045639553,0.293724088,497.276,N/A,N/A,1.067755735,6.34,4.04
ACEL,Accel Entertainment Inc,Consumer Cyclical,10.22,0,N/A,N/A,0,651.686476,11.8456144,0,0.910279503,12.05,7.26
ACET,Adicet Bio Inc,N/A,1.38,0,N/A,N/A,0,59.431298,0,N/A,0.825000661,21.87,1.24
ACHR,Archer Aviation Inc,N/A,5.11,0,N/A,N/A,0,1065.837121,0,N/A,2.178684303,7.49,1.62
